"County","Precinct","CST","REP","DEM","LIB","GRE"
"WAKE","19-09",0,432,141,14,2
"HAYWOOD","AC",6,965,435,17,3
"BUNCOMBE","60.4",0,147,329,4,1
"DARE","DUCK",0,135,71,3,0
"WATAUGA","17",0,120,30,3,0
"WAKE","17-12",1,112,201,11,3
"WAKE","12-01",0,427,171,23,3
"WILSON","PROL",5,2297,832,22,2
"WAKE","OSLH 81-120",0,435,642,11,3
"CARTERET","BFT2",8,1751,1121,15,3
"CUMBERLAND","G9B-1",2,1660,1579,30,6
"WAKE","20-16",0,214,228,7,5
"DURHAM","OS SRL",13,2107,10797,99,37
"GREENE","MAUR",1,688,570,2,1
"CALDWELL","OS GRANITE REC",15,11425,2185,79,10
"UNION","005",4,1518,1025,19,1
"BEAUFORT","PINET",3,315,18,4,0
"CHOWAN","2",4,1260,1128,18,1
"AVERY","15",0,77,17,1,0
"MECKLENBURG","017",3,131,982,9,8
"FORSYTH","071",3,1719,1387,28,7
"TYRRELL","3",0,52,17,0,0
"DAVIE","08",5,925,628,10,9
"STOKES","03",1,431,32,4,0
"SCOTLAND","06-89",0,372,115,2,0
"AVERY","11",0,92,26,0,0
"NEW HANOVER","W31",1,455,714,9,5
"WAKE","17-09",0,81,338,2,3
"CARTERET","MASM",0,347,159,4,1
"WAKE","18-05",3,364,143,9,0
"GUILFORD","FR5A",1,168,124,8,1
"CHEROKEE","HIWA",2,1185,342,7,1
"GASTON","45",2,1571,1376,35,5
"ROBESON","28",2,525,231,1,2
"GUILFORD","PROVISIONAL",1,161,240,4,3
"GUILFORD","JEF1",2,219,111,2,1
"JOHNSTON","PR27B",0,255,137,5,3
"BLADEN","P10",0,102,66,0,0
"FORSYTH","809",3,956,1381,30,7
"YANCEY","03 EGY",0,284,132,4,0
"MADISON","MARS H",6,1709,1243,19,8
"MECKLENBURG","071",1,630,592,12,2
"MECKLENBURG","050",1,398,760,19,5
"WAKE","01-05",1,191,136,1,0
"LINCOLN","WP32",1,400,110,6,5
"MECKLENBURG","222",6,973,3561,36,20
"RICHMOND","PROVISIONAL",1,56,42,0,0
"WAKE","13-10",1,369,202,8,2
"WATAUGA","15",0,176,131,9,1
"PENDER","UU17",2,490,343,0,0
"GUILFORD","G38",2,112,138,5,1
"CALDWELL","PR21",1,380,59,5,0
"LENOIR","C",2,959,779,4,3
"WAYNE","03",0,361,82,7,2
"LINCOLN","LS12",0,133,89,3,0
"WAKE","18-06",1,252,285,20,4
"DURHAM","27",1,79,99,3,2
"GUILFORD","OR1",0,195,65,5,2
"GASTON","08",1,427,840,12,8
"WILKES","104",2,293,50,3,0
"HALIFAX","TRANSFER",0,0,0,0,0
"WAKE","OSWA 41-80",10,4802,3343,87,17
"DURHAM","OS DUKE",7,1283,11188,103,35
"WATAUGA","01",0,56,13,1,0
"CALDWELL","PR13",0,422,49,2,0
"BURKE","0018",0,272,135,0,1
"MECKLENBURG","075",2,980,993,21,3
"WAKE","OSZB 1-40",9,4552,4398,64,10
"PAMLICO","5AP",1,1183,612,4,4
"ORANGE","CP",2,127,62,6,1
"SAMPSON","CLSW",0,692,465,9,1
"GUILFORD","H21",2,126,61,4,1
"GUILFORD","G13",0,96,96,4,4
"WAKE","20-04",0,238,156,9,2
"DURHAM","17",0,28,177,3,4
"LINCOLN","PC22",1,364,71,9,0
"GUILFORD","H20A",1,76,71,3,0
"JACKSON","GCK",1,515,352,9,5
"UNION","039",0,1603,496,16,4
"DUPLIN","ROSE",0,197,106,0,0
"BUNCOMBE","47.1",4,696,441,19,5
"CARTERET","MHD2",3,1327,793,28,4
"WAKE","10-04",3,614,387,16,4
"HOKE","01",1,167,102,3,1
"PENDER","LU16",2,649,236,8,1
"IREDELL","BE",4,2997,1198,34,12
"ALAMANCE","12S",2,246,525,3,3
"STANLY","0020",5,1795,277,7,1
"NASH","P19A",0,329,196,6,0
"CUMBERLAND","CC33",3,592,1142,22,5
"ANSON","ANS",0,430,338,6,1
"HALIFAX","RR1-2",0,120,66,5,0
"PERSON","WDSD",0,443,432,6,3
"HOKE","15",2,676,1161,30,3
"MECKLENBURG","004",4,286,923,15,5
"NORTHAMPTON","OS RICHSQUARE",1,200,822,4,0
"CALDWELL","PR18",1,267,51,5,2
"ONSLOW","CL10",1,1639,457,62,4
"MARTIN","ONE STOP CBR",2,3032,2797,25,3
"NEW HANOVER","W15",3,255,1027,15,8
"GRANVILLE","WILT",4,3306,1682,45,6
"ROCKINGHAM","NB",3,2257,653,19,4
"CLAY","WARN",0,460,124,2,1
"ROWAN","03",2,1590,282,18,4
"RICHMOND","14",0,21,40,1,0
"CATAWBA","06",2,1418,537,9,3
"WAKE","OSCS 41-80",0,959,1649,28,3
"SURRY","09",0,259,26,4,2
"WAYNE","OS MAX",17,12011,5487,102,21
"EDGECOMBE","0501",0,96,67,0,0
"GUILFORD","G59",0,52,139,6,0
"RUTHERFORD","06A",5,1211,812,20,5
"HARNETT","PR20",1,255,214,9,4
"BUNCOMBE","69.1",1,302,385,18,7
"WAKE","OSTA 41-80",4,1076,3756,51,11
"MCDOWELL","DYSART",2,1377,392,17,1
"BURKE","0035",2,474,586,8,7
"WAKE","05-05",1,343,372,28,2
"WAKE","01-31",1,120,319,9,8
"PENDER","SB02",1,1461,939,25,4
"WAKE","16-06",0,83,108,5,0
"CHEROKEE","GCRK",1,321,43,3,3
"GUILFORD","G36",2,119,125,4,0
"UNION","026",2,1206,337,10,0
"PERSON","PNTH",6,1403,1548,25,11
"FORSYTH","072",6,2627,2159,47,12
"CUMBERLAND","G10C",3,1705,1308,30,8
"WAYNE","21",0,78,102,3,0
"LEE","ABSENTEE",4,1366,2623,39,12
"FORSYTH","123",3,1118,1359,25,6
"JOHNSTON","PR07",0,676,138,10,1
"WILSON","PRGA",1,949,820,7,4
"CABARRUS","OS HAR",23,8922,9576,161,26
"MECKLENBURG","100",2,873,896,20,1
"GASTON","35",0,1086,304,3,0
"PITT","1510B",1,161,116,7,2
"GASTON","26",2,1438,891,26,4
"CARTERET","PELE",0,842,257,11,0
"JOHNSTON","PR04",3,316,85,0,0
"NEW HANOVER","W28",1,288,582,19,5
"MECKLENBURG","045",2,354,848,10,4
"CABARRUS","02-09",1,373,268,9,2
"MACON","07",0,264,57,6,2
"FRANKLIN","06",4,606,676,9,4
"BUNCOMBE","44.1",4,452,1111,19,2
"FORSYTH","804",3,444,627,16,1
"CATAWBA","32",3,1426,828,28,4
"GUILFORD","PG2",2,298,49,7,2
